Year,Project,Trip Number,ADFG Number,Vessel Name,Trip Comments,Effort Number,Groundfish Stat Area,Station Number,Start Latitude Decimal Degrees,Start Longitude Decimal Degrees,End Latitude Decimal Degrees,End Longitude Decimal Degrees,Time Second Anchor Overboard,Time First Anchor Onboard,Time Second Anchor Onboard,Soak Time,Haul Back Order,Number of Pots Set,Number of Pots Retrieved,Pot Type,Start Depth Fathoms,End Depth Fathoms,Average Depth Fathoms,Substrate Type,Effort Comments,Subset Number in Order Set,Subset Number in Order Hauled,Depth Fathoms,Pot Type,Pot Lost or Compromised,Subset Comments,Specimen Number,Species Code,Species,Length Type Code,Length Type,Length Millimeters,Weight Kilograms,Maturity,Maturity Code,Sex,Sex Code,Otolith Number,Otolith Condition Code,Otolith Condition,Age,Age Readability,Age Readability Code,Age Type,Age Type Code,Discard Status Code,Discard Status,Specimen Comments
2023,Chatham Sablefish Pot Survey,1,37833,ILONA B,Crew Rhea Ehresmann and Kalli Brettrager. Pot and longline comparison study in NSEI waters.,1,345631,13,56.850667,-134.654833,56.834167,-134.651167,7/24/2023 6:45,7/24/2023 14:44,7/24/2023 16:22,7:59,Opposite,30,29,Multiple,367,380,374,Mud/Hard,"One large pot lost while setting due to not being clipped on correctly -- this was pot 11 while setting/pot 20 while hauling. Weather: 2-3' seas, winds SW 15-25.",1,30,367,Lg. Slinky,N,,140,710,Sablefish,1,Tip of snout to fork of tail,560,1.8,Immature,1,Male,1,29,1,Both Otos Found,10,Comfortably Sure,2,,,1,Retained,
2023,Chatham Sablefish Pot Survey,1,37833,ILONA B,Crew Rhea Ehresmann and Kalli Brettrager. Pot and longline comparison study in NSEI waters.,1,345631,13,56.850667,-134.654833,56.834167,-134.651167,7/24/2023 6:45,7/24/2023 14:44,7/24/2023 16:22,7:59,Opposite,30,29,Multiple,367,380,374,Mud/Hard,"One large pot lost while setting due to not being clipped on correctly -- this was pot 11 while setting/pot 20 while hauling. Weather: 2-3' seas, winds SW 15-25.",1,30,367,Lg. Slinky,N,,420,710,Sablefish,0,Length not taken,,,,,,,,,,,,,,,1,Retained,
2023,Chatham Sablefish Pot Survey,1,37833,ILONA B,Crew Rhea Ehresmann and Kalli Brettrager. Pot and longline comparison study in NSEI waters.,1,345631,13,56.850667,-134.654833,56.834167,-134.651167,7/24/2023 6:45,7/24/2023 14:44,7/24/2023 16:22,7:59,Opposite,30,29,Multiple,367,380,374,Mud/Hard,"One large pot lost while setting due to not being clipped on correctly -- this was pot 11 while setting/pot 20 while hauling. Weather: 2-3' seas, winds SW 15-25.",1,30,367,Lg. Slinky,N,,421,710,Sablefish,0,Length not taken,,,,,,,,,,,,,,,1,Retained,
2023,Chatham Sablefish Pot Survey,1,37833,ILONA B,Crew Rhea Ehresmann and Kalli Brettrager. Pot and longline comparison study in NSEI waters.,1,345631,13,56.850667,-134.654833,56.834167,-134.651167,7/24/2023 6:45,7/24/2023 14:44,7/24/2023 16:22,7:59,Opposite,30,29,Multiple,367,380,374,Mud/Hard,"One large pot lost while setting due to not being clipped on correctly -- this was pot 11 while setting/pot 20 while hauling. Weather: 2-3' seas, winds SW 15-25.",1,30,367,Lg. Slinky,N,,422,710,Sablefish,0,Length not taken,,,,,,,,,,,,,,,1,Retained,
2023,Chatham Sablefish Pot Survey,1,37833,ILONA B,Crew Rhea Ehresmann and Kalli Brettrager. Pot and longline comparison study in NSEI waters.,1,345631,13,56.850667,-134.654833,56.834167,-134.651167,7/24/2023 6:45,7/24/2023 14:44,7/24/2023 16:22,7:59,Opposite,30,29,Multiple,367,380,374,Mud/Hard,"One large pot lost while setting due to not being clipped on correctly -- this was pot 11 while setting/pot 20 while hauling. Weather: 2-3' seas, winds SW 15-25.",1,30,367,Lg. Slinky,N,,423,710,Sablefish,0,Length not taken,,,,,,,,,,,,,,,1,Retained,
2023,Chatham Sablefish Pot Survey,1,37833,ILONA B,Crew Rhea Ehresmann and Kalli Brettrager. Pot and longline comparison study in NSEI waters.,1,345631,13,56.850667,-134.654833,56.834167,-134.651167,7/24/2023 6:45,7/24/2023 14:44,7/24/2023 16:22,7:59,Opposite,30,29,Multiple,367,380,374,Mud/Hard,"One large pot lost while setting due to not being clipped on correctly -- this was pot 11 while setting/pot 20 while hauling. Weather: 2-3' seas, winds SW 15-25.",1,30,367,Lg. Slinky,N,,424,710,Sablefish,0,Length not taken,,,,,,,,,,,,,,,1,Retained,
2023,Chatham Sablefish Pot Survey,1,37833,ILONA B,Crew Rhea Ehresmann and Kalli Brettrager. Pot and longline comparison study in NSEI waters.,1,345631,13,56.850667,-134.654833,56.834167,-134.651167,7/24/2023 6:45,7/24/2023 14:44,7/24/2023 16:22,7:59,Opposite,30,29,Multiple,367,380,374,Mud/Hard,"One large pot lost while setting due to not being clipped on correctly -- this was pot 11 while setting/pot 20 while hauling. Weather: 2-3' seas, winds SW 15-25.",1,30,367,Lg. Slinky,N,,425,710,Sablefish,0,Length not taken,,,,,,,,,,,,,,,1,Retained,
2023,Chatham Sablefish Pot Survey,1,37833,ILONA B,Crew Rhea Ehresmann and Kalli Brettrager. Pot and longline comparison study in NSEI waters.,1,345631,13,56.850667,-134.654833,56.834167,-134.651167,7/24/2023 6:45,7/24/2023 14:44,7/24/2023 16:22,7:59,Opposite,30,29,Multiple,367,380,374,Mud/Hard,"One large pot lost while setting due to not being clipped on correctly -- this was pot 11 while setting/pot 20 while hauling. Weather: 2-3' seas, winds SW 15-25.",1,30,367,Lg. Slinky,N,,426,710,Sablefish,0,Length not taken,,,,,,,,,,,,,,,1,Retained,
2023,Chatham Sablefish Pot Survey,1,37833,ILONA B,Crew Rhea Ehresmann and Kalli Brettrager. Pot and longline comparison study in NSEI waters.,1,345631,13,56.850667,-134.654833,56.834167,-134.651167,7/24/2023 6:45,7/24/2023 14:44,7/24/2023 16:22,7:59,Opposite,30,29,Multiple,367,380,374,Mud/Hard,"One large pot lost while setting due to not being clipped on correctly -- this was pot 11 while setting/pot 20 while hauling. Weather: 2-3' seas, winds SW 15-25.",1,30,367,Lg. Slinky,N,,427,710,Sablefish,0,Length not taken,,,,,,,,,,,,,,,1,Retained,
2023,Chatham Sablefish Pot Survey,1,37833,ILONA B,Crew Rhea Ehresmann and Kalli Brettrager. Pot and longline comparison study in NSEI waters.,1,345631,13,56.850667,-134.654833,56.834167,-134.651167,7/24/2023 6:45,7/24/2023 14:44,7/24/2023 16:22,7:59,Opposite,30,29,Multiple,367,380,374,Mud/Hard,"One large pot lost while setting due to not being clipped on correctly -- this was pot 11 while setting/pot 20 while hauling. Weather: 2-3' seas, winds SW 15-25.",1,30,367,Lg. Slinky,N,,428,710,Sablefish,0,Length not taken,,,,,,,,,,,,,,,1,Retained,
