Year,Project,Trip Number,ADFG Number,Vessel Name,Trip Comments,Effort Number,Groundfish Stat Area,Station Number,Start Latitude Decimal Degrees,Start Longitude Decimal Degrees,End Latitude Decimal Degrees,End Longitude Decimal Degrees,Time Second Anchor Overboard,Time First Anchor Onboard,Time Second Anchor Onboard,Soak Time,Haul Back Order,Number of Pots Set,Number of Pots Retrieved,Pot Type,Start Depth Fathoms,End Depth Fathoms,Average Depth Fathoms,Substrate Type,Effort Comments,Pot Number in Order Set,Pot Number in Order Hauled,Depth Fathoms,Pot Type,Pot Lost or Compromised,Subset Comments,Specimen Number,Tag Batch Number,Tag Number,Species Code,Species,Length Type Code,Length Millimeters,Release Condition Code,Release Condition,Discard Status Code,Discard Status,Specimen Comments
2023,Clarence Sablefish Pot Survey,1,36135,LEA,Crew: Rhea Ehresmann and CL Roberts. Side-by-side pot vs longline comparison study.,1,315502,107,55.212867,-131.93815,55.187967,-131.936583,5/23/2023 5:49,5/23/2023 13:50,5/23/2023 18:01,8:01,Same,38,38,Multiple,216,197,209,Sand,Accidentally set 38 pots instead of 40. Bycatch not split out by pot for this set.,1,1,216,Sm. Slinky,N,,1,31,118190,710,Sablefish,1,520,1,Presumed healthy,5,Tagged and released,
2023,Clarence Sablefish Pot Survey,1,36135,LEA,Crew: Rhea Ehresmann and CL Roberts. Side-by-side pot vs longline comparison study.,1,315502,107,55.212867,-131.93815,55.187967,-131.936583,5/23/2023 5:49,5/23/2023 13:50,5/23/2023 18:01,8:01,Same,38,38,Multiple,216,197,209,Sand,Accidentally set 38 pots instead of 40. Bycatch not split out by pot for this set.,1,1,216,Sm. Slinky,N,,2,31,118191,710,Sablefish,1,580,1,Presumed healthy,5,Tagged and released,
2023,Clarence Sablefish Pot Survey,1,36135,LEA,Crew: Rhea Ehresmann and CL Roberts. Side-by-side pot vs longline comparison study.,1,315502,107,55.212867,-131.93815,55.187967,-131.936583,5/23/2023 5:49,5/23/2023 13:50,5/23/2023 18:01,8:01,Same,38,38,Multiple,216,197,209,Sand,Accidentally set 38 pots instead of 40. Bycatch not split out by pot for this set.,1,1,216,Sm. Slinky,N,,3,31,118192,710,Sablefish,1,500,1,Presumed healthy,5,Tagged and released,
2023,Clarence Sablefish Pot Survey,1,36135,LEA,Crew: Rhea Ehresmann and CL Roberts. Side-by-side pot vs longline comparison study.,1,315502,107,55.212867,-131.93815,55.187967,-131.936583,5/23/2023 5:49,5/23/2023 13:50,5/23/2023 18:01,8:01,Same,38,38,Multiple,216,197,209,Sand,Accidentally set 38 pots instead of 40. Bycatch not split out by pot for this set.,1,1,216,Sm. Slinky,N,,4,31,118193,710,Sablefish,1,670,1,Presumed healthy,5,Tagged and released,
2023,Clarence Sablefish Pot Survey,1,36135,LEA,Crew: Rhea Ehresmann and CL Roberts. Side-by-side pot vs longline comparison study.,1,315502,107,55.212867,-131.93815,55.187967,-131.936583,5/23/2023 5:49,5/23/2023 13:50,5/23/2023 18:01,8:01,Same,38,38,Multiple,216,197,209,Sand,Accidentally set 38 pots instead of 40. Bycatch not split out by pot for this set.,1,1,216,Sm. Slinky,N,,5,31,118194,710,Sablefish,1,590,1,Presumed healthy,5,Tagged and released,
2023,Clarence Sablefish Pot Survey,1,36135,LEA,Crew: Rhea Ehresmann and CL Roberts. Side-by-side pot vs longline comparison study.,1,315502,107,55.212867,-131.93815,55.187967,-131.936583,5/23/2023 5:49,5/23/2023 13:50,5/23/2023 18:01,8:01,Same,38,38,Multiple,216,197,209,Sand,Accidentally set 38 pots instead of 40. Bycatch not split out by pot for this set.,1,1,216,Sm. Slinky,N,,6,31,118195,710,Sablefish,1,530,1,Presumed healthy,5,Tagged and released,
2023,Clarence Sablefish Pot Survey,1,36135,LEA,Crew: Rhea Ehresmann and CL Roberts. Side-by-side pot vs longline comparison study.,1,315502,107,55.212867,-131.93815,55.187967,-131.936583,5/23/2023 5:49,5/23/2023 13:50,5/23/2023 18:01,8:01,Same,38,38,Multiple,216,197,209,Sand,Accidentally set 38 pots instead of 40. Bycatch not split out by pot for this set.,1,1,216,Sm. Slinky,N,,7,31,118196,710,Sablefish,1,520,1,Presumed healthy,5,Tagged and released,
2023,Clarence Sablefish Pot Survey,1,36135,LEA,Crew: Rhea Ehresmann and CL Roberts. Side-by-side pot vs longline comparison study.,1,315502,107,55.212867,-131.93815,55.187967,-131.936583,5/23/2023 5:49,5/23/2023 13:50,5/23/2023 18:01,8:01,Same,38,38,Multiple,216,197,209,Sand,Accidentally set 38 pots instead of 40. Bycatch not split out by pot for this set.,1,1,216,Sm. Slinky,N,,8,31,118197,710,Sablefish,1,570,1,Presumed healthy,5,Tagged and released,
2023,Clarence Sablefish Pot Survey,1,36135,LEA,Crew: Rhea Ehresmann and CL Roberts. Side-by-side pot vs longline comparison study.,1,315502,107,55.212867,-131.93815,55.187967,-131.936583,5/23/2023 5:49,5/23/2023 13:50,5/23/2023 18:01,8:01,Same,38,38,Multiple,216,197,209,Sand,Accidentally set 38 pots instead of 40. Bycatch not split out by pot for this set.,1,1,216,Sm. Slinky,N,,9,31,118198,710,Sablefish,1,590,1,Presumed healthy,5,Tagged and released,
2023,Clarence Sablefish Pot Survey,1,36135,LEA,Crew: Rhea Ehresmann and CL Roberts. Side-by-side pot vs longline comparison study.,1,315502,107,55.212867,-131.93815,55.187967,-131.936583,5/23/2023 5:49,5/23/2023 13:50,5/23/2023 18:01,8:01,Same,38,38,Multiple,216,197,209,Sand,Accidentally set 38 pots instead of 40. Bycatch not split out by pot for this set.,1,1,216,Sm. Slinky,N,,10,31,118199,710,Sablefish,1,520,1,Presumed healthy,5,Tagged and released,
