YEAR,PROJECT_CODE,TRIP_NO,TARGET_SPECIES_CODE,ADFG_NO,VESSEL_NAME,TIME_FIRST_BUOY_ONBOARD,NUMBER_OF_STATIONS,HOOKS_PER_SET,HOOK_SIZE,HOOK_SPACING_INCHES,SAMPLE_FREQ,LAST_SKATE_SAMPLED,EFFORT_NO,STATION_NO,STAT,START_LAT,START_LON,END_LAT,END_LON,DEPTH_METERS,NUMBER_HOOKS,BARE,BAIT,INVALID,SABLEFISH,SUBSET_CONDITION_CODE
2001,603,3,710,26017,IDA-JUNE,2001-08-11T22:15:00Z,15,1125,13C,78.7,NA,NA,8,42,345731,57.731333,-134.885667,57.706,-134.880167,548.64,45,2,14,0,28,01
2001,603,3,710,26017,IDA-JUNE,2001-08-11T22:15:00Z,15,1125,13C,78.7,NA,NA,8,42,345731,57.731333,-134.885667,57.706,-134.880167,548.64,45,6,23,0,12,01
2001,603,3,710,26017,IDA-JUNE,2001-08-11T22:15:00Z,15,1125,13C,78.7,NA,NA,8,42,345731,57.731333,-134.885667,57.706,-134.880167,548.64,45,2,21,0,22,01
2001,603,3,710,26017,IDA-JUNE,2001-08-11T22:15:00Z,15,1125,13C,78.7,NA,NA,8,42,345731,57.731333,-134.885667,57.706,-134.880167,548.64,45,8,24,0,13,01
2001,603,3,710,26017,IDA-JUNE,2001-08-11T22:15:00Z,15,1125,13C,78.7,NA,NA,8,42,345731,57.731333,-134.885667,57.706,-134.880167,548.64,44,6,18,2,17,01
2001,603,3,710,26017,IDA-JUNE,2001-08-11T22:15:00Z,15,1125,13C,78.7,NA,NA,8,42,345731,57.731333,-134.885667,57.706,-134.880167,548.64,45,11,13,2,17,01
2001,603,3,710,26017,IDA-JUNE,2001-08-11T22:15:00Z,15,1125,13C,78.7,NA,NA,8,42,345731,57.731333,-134.885667,57.706,-134.880167,548.64,44,9,12,3,19,01
2001,603,3,710,26017,IDA-JUNE,2001-08-11T22:15:00Z,15,1125,13C,78.7,NA,NA,8,42,345731,57.731333,-134.885667,57.706,-134.880167,548.64,45,11,10,4,16,01
2001,603,3,710,26017,IDA-JUNE,2001-08-12T00:15:00Z,15,1125,13C,78.7,NA,NA,9,41,345731,57.693667,-134.876833,57.690166999999995,-134.834333,521.208,45,12,8,9,15,01
2001,603,3,710,26017,IDA-JUNE,2001-08-12T00:15:00Z,15,1125,13C,78.7,NA,NA,9,41,345731,57.693667,-134.876833,57.690166999999995,-134.834333,521.208,47,6,2,25,11,02
2001,603,3,710,26017,IDA-JUNE,2001-08-12T00:15:00Z,15,1125,13C,78.7,NA,NA,9,41,345731,57.693667,-134.876833,57.690166999999995,-134.834333,521.208,44,14,8,0,16,01
2001,603,3,710,26017,IDA-JUNE,2001-08-12T00:15:00Z,15,1125,13C,78.7,NA,NA,9,41,345731,57.693667,-134.876833,57.690166999999995,-134.834333,521.208,45,12,13,4,13,01
2001,603,3,710,26017,IDA-JUNE,2001-08-12T00:15:00Z,15,1125,13C,78.7,NA,NA,9,41,345731,57.693667,-134.876833,57.690166999999995,-134.834333,521.208,45,19,3,1,19,01
