Year,Project Code,Project,Trip Number,Vessel Name,Gear Code,Gear,Target Species Code,Target Species,Effort Number,Haul Back Order,Time Second Anchor Overboard,Time First Anchor Onboard,Time Second Anchor Onboard,Soak Time,Average Depth Fathoms,Substrate Type,Groundfish Stat Area,Pot Type,Subset Number,Depth Fathoms,Pot Type,Specimen Number,Tag Batch Number,Tag Number,Sample Type Code,Species Code,Species,Length Type,Length Millimeters,Release Condition Code,Release Condition,Discard Status Code,Discard Status,Tag Event,Specimen Comments
2022,611,Chatham Sablefish Pot Survey,1,MEDEIA,91,Pot,710,Sablefish,1,Same,5/2/2022 13:53,5/3/2022 10:00,5/3/2022 11:20,20:07,314,Mud/Soft,345803,Multiple,1,295,Slinky,1,30,109503,1,710,Sablefish,Tip of snout to fork of tail,640,1,Presumed healthy,5,Tagged and released,,
2022,611,Chatham Sablefish Pot Survey,1,MEDEIA,91,Pot,710,Sablefish,1,Same,5/2/2022 13:53,5/3/2022 10:00,5/3/2022 11:20,20:07,314,Mud/Soft,345803,Multiple,1,295,Slinky,2,30,109504,1,710,Sablefish,Tip of snout to fork of tail,590,1,Presumed healthy,5,Tagged and released,,
2022,611,Chatham Sablefish Pot Survey,1,MEDEIA,91,Pot,710,Sablefish,1,Same,5/2/2022 13:53,5/3/2022 10:00,5/3/2022 11:20,20:07,314,Mud/Soft,345803,Multiple,1,295,Slinky,3,30,109505,1,710,Sablefish,Tip of snout to fork of tail,620,1,Presumed healthy,5,Tagged and released,,
2022,611,Chatham Sablefish Pot Survey,1,MEDEIA,91,Pot,710,Sablefish,1,Same,5/2/2022 13:53,5/3/2022 10:00,5/3/2022 11:20,20:07,314,Mud/Soft,345803,Multiple,1,295,Slinky,4,30,109506,1,710,Sablefish,Tip of snout to fork of tail,780,1,Presumed healthy,5,Tagged and released,,
2022,611,Chatham Sablefish Pot Survey,1,MEDEIA,91,Pot,710,Sablefish,1,Same,5/2/2022 13:53,5/3/2022 10:00,5/3/2022 11:20,20:07,314,Mud/Soft,345803,Multiple,1,295,Slinky,5,30,109507,1,710,Sablefish,Tip of snout to fork of tail,510,1,Presumed healthy,5,Tagged and released,,
2022,611,Chatham Sablefish Pot Survey,1,MEDEIA,91,Pot,710,Sablefish,1,Same,5/2/2022 13:53,5/3/2022 10:00,5/3/2022 11:20,20:07,314,Mud/Soft,345803,Multiple,1,295,Slinky,6,30,109508,1,710,Sablefish,Tip of snout to fork of tail,670,1,Presumed healthy,5,Tagged and released,,
2022,611,Chatham Sablefish Pot Survey,1,MEDEIA,91,Pot,710,Sablefish,1,Same,5/2/2022 13:53,5/3/2022 10:00,5/3/2022 11:20,20:07,314,Mud/Soft,345803,Multiple,1,295,Slinky,272,,,1,710,Sablefish,Tip of snout to fork of tail,740,1,Presumed healthy,9,Released; already tagged by ADFG,,T-090542
2022,611,Chatham Sablefish Pot Survey,1,MEDEIA,91,Pot,710,Sablefish,1,Same,5/2/2022 13:53,5/3/2022 10:00,5/3/2022 11:20,20:07,314,Mud/Soft,345803,Multiple,2,323,Cone,7,30,109509,1,710,Sablefish,Tip of snout to fork of tail,600,1,Presumed healthy,5,Tagged and released,,
2022,611,Chatham Sablefish Pot Survey,1,MEDEIA,91,Pot,710,Sablefish,1,Same,5/2/2022 13:53,5/3/2022 10:00,5/3/2022 11:20,20:07,314,Mud/Soft,345803,Multiple,4,225,Cone,8,30,109510,1,710,Sablefish,Tip of snout to fork of tail,570,1,Presumed healthy,5,Tagged and released,,
2022,611,Chatham Sablefish Pot Survey,1,MEDEIA,91,Pot,710,Sablefish,1,Same,5/2/2022 13:53,5/3/2022 10:00,5/3/2022 11:20,20:07,314,Mud/Soft,345803,Multiple,4,225,Cone,9,30,109511,1,710,Sablefish,Tip of snout to fork of tail,600,1,Presumed healthy,5,Tagged and released,,
2022,611,Chatham Sablefish Pot Survey,1,MEDEIA,91,Pot,710,Sablefish,1,Same,5/2/2022 13:53,5/3/2022 10:00,5/3/2022 11:20,20:07,314,Mud/Soft,345803,Multiple,4,225,Cone,10,30,109512,1,710,Sablefish,Tip of snout to fork of tail,550,1,Presumed healthy,5,Tagged and released,,
2022,611,Chatham Sablefish Pot Survey,1,MEDEIA,91,Pot,710,Sablefish,1,Same,5/2/2022 13:53,5/3/2022 10:00,5/3/2022 11:20,20:07,314,Mud/Soft,345803,Multiple,4,225,Cone,11,30,109513,1,710,Sablefish,Tip of snout to fork of tail,670,1,Presumed healthy,5,Tagged and released,,
2022,611,Chatham Sablefish Pot Survey,1,MEDEIA,91,Pot,710,Sablefish,1,Same,5/2/2022 13:53,5/3/2022 10:00,5/3/2022 11:20,20:07,314,Mud/Soft,345803,Multiple,4,225,Cone,12,30,109514,1,710,Sablefish,Tip of snout to fork of tail,630,1,Presumed healthy,5,Tagged and released,,
2022,611,Chatham Sablefish Pot Survey,1,MEDEIA,91,Pot,710,Sablefish,1,Same,5/2/2022 13:53,5/3/2022 10:00,5/3/2022 11:20,20:07,314,Mud/Soft,345803,Multiple,4,225,Cone,13,30,109515,1,710,Sablefish,Tip of snout to fork of tail,620,1,Presumed healthy,5,Tagged and released,,
2022,611,Chatham Sablefish Pot Survey,1,MEDEIA,91,Pot,710,Sablefish,1,Same,5/2/2022 13:53,5/3/2022 10:00,5/3/2022 11:20,20:07,314,Mud/Soft,345803,Multiple,4,225,Cone,14,30,109516,1,710,Sablefish,Tip of snout to fork of tail,550,1,Presumed healthy,5,Tagged and released,,
2022,611,Chatham Sablefish Pot Survey,1,MEDEIA,91,Pot,710,Sablefish,1,Same,5/2/2022 13:53,5/3/2022 10:00,5/3/2022 11:20,20:07,314,Mud/Soft,345803,Multiple,4,225,Cone,15,30,109517,1,710,Sablefish,Tip of snout to fork of tail,500,1,Presumed healthy,5,Tagged and released,,
2022,611,Chatham Sablefish Pot Survey,1,MEDEIA,91,Pot,710,Sablefish,1,Same,5/2/2022 13:53,5/3/2022 10:00,5/3/2022 11:20,20:07,314,Mud/Soft,345803,Multiple,4,225,Cone,16,30,109518,1,710,Sablefish,Tip of snout to fork of tail,500,1,Presumed healthy,5,Tagged and released,,
