age,sex,round_kg,Source,fork_length_cm,round_lb,easterncut_lb_0.63
2,Female,2.17,LL fishery,58.32015986654434,4.78,3.01
3,Female,2.39,LL fishery,60.10515987201196,5.27,3.32
4,Female,2.61,LL fishery,61.78188109982329,5.75,3.62
5,Female,2.83,LL fishery,63.35689178171773,6.24,3.93
6,Female,3.04,LL fishery,64.83636171800504,6.7,4.22
7,Female,3.25,LL fishery,66.22608644656701,7.17,4.52
8,Female,3.46,LL fishery,67.53150994575842,7.63,4.81
9,Female,3.66,LL fishery,68.75774596014126,8.07,5.08
10,Female,3.85,LL fishery,69.90959803259204,8.49,5.35
11,Female,4.04,LL fishery,70.99157832125356,8.91,5.61
12,Female,4.22,LL fishery,72.0079252750436,9.3,5.86
13,Female,4.39,LL fishery,72.96262023696026,9.68,6.1
14,Female,4.55,LL fishery,73.85940304022465,10.03,6.32
15,Female,4.71,LL fishery,74.70178665835557,10.38,6.54
16,Female,4.87,LL fishery,75.49307096656523,10.74,6.77
17,Female,5.01,LL fishery,76.23635566838323,11.05,6.96
18,Female,5.15,LL fishery,76.93455243814692,11.35,7.15
19,Female,5.28,LL fishery,77.5903963269235,11.64,7.33
20,Female,5.41,LL fishery,78.20645647654457,11.93,7.52
21,Female,5.53,LL fishery,78.78514618372341,12.19,7.68
22,Female,5.64,LL fishery,79.32873235367892,12.43,7.83
23,Female,5.75,LL fishery,79.83934438029921,12.68,7.99
24,Female,5.85,LL fishery,80.31898248763116,12.9,8.13
25,Female,5.94,LL fishery,80.76952556537198,13.1,8.25
26,Female,6.03,LL fishery,81.19273852905684,13.29,8.37
27,Female,6.12,LL fishery,81.59027923377494,13.49,8.5
28,Female,6.2,LL fishery,81.96370496849657,13.67,8.61
29,Female,6.28,LL fishery,82.31447855645227,13.85,8.73
30,Female,6.35,LL fishery,82.6439740854603,14,8.82
31,Female,6.42,LL fishery,82.95348229065044,14.15,8.91
2,Male,2.01,LL fishery,56.98904930997291,4.43,2.79
3,Male,2.14,LL fishery,57.95929269624348,4.72,2.97
4,Male,2.27,LL fishery,58.86216045501104,5,3.15
5,Male,2.38,LL fishery,59.702331283647474,5.25,3.31
6,Male,2.49,LL fishery,60.484158981487965,5.49,3.46
7,Male,2.6,LL fishery,61.21169501139582,5.73,3.61
8,Male,2.7,LL fishery,61.888709494607546,5.95,3.75
9,Male,2.79,LL fishery,62.51871074765406,6.15,3.87
10,Male,2.88,LL fishery,63.10496346259938,6.35,4
11,Male,2.96,LL fishery,63.650505624807415,6.53,4.11
12,Male,3.03,LL fishery,64.15816425590539,6.68,4.21
13,Male,3.1,LL fishery,64.6305700635247,6.83,4.3
14,Male,3.16,LL fishery,65.0701710737346,6.97,4.39
15,Male,3.22,LL fishery,65.47924531681271,7.1,4.47
16,Male,3.28,LL fishery,65.85991263209033,7.23,4.55
17,Male,3.33,LL fishery,66.21414565304589,7.34,4.62
18,Male,3.37,LL fishery,66.5437800295717,7.43,4.68
19,Male,3.42,LL fishery,66.85052394038628,7.54,4.75
20,Male,3.46,LL fishery,67.13596694488571,7.63,4.81
21,Male,3.49,LL fishery,67.40158822030494,7.69,4.84
22,Male,3.53,LL fishery,67.64876422687436,7.78,4.9
23,Male,3.56,LL fishery,67.87877584069247,7.85,4.95
24,Male,3.59,LL fishery,68.0928149912779,7.91,4.98
25,Male,3.61,LL fishery,68.29199083819647,7.96,5.01
26,Male,3.64,LL fishery,68.47733551877113,8.02,5.05
27,Male,3.66,LL fishery,68.64980949665946,8.07,5.08
28,Male,3.68,LL fishery,68.81030653901533,8.11,5.11
29,Male,3.7,LL fishery,68.95965834802654,8.16,5.14
30,Male,3.71,LL fishery,69.09863887082932,8.18,5.15
31,Male,3.73,LL fishery,69.22796831013385,8.22,5.18
2,Combined,1.99,LL fishery,NA,4.39,2.77
3,Combined,2.23,LL fishery,NA,4.92,3.1
4,Combined,2.47,LL fishery,NA,5.45,3.43
5,Combined,2.69,LL fishery,NA,5.93,3.74
6,Combined,2.89,LL fishery,NA,6.37,4.01
7,Combined,3.09,LL fishery,NA,6.81,4.29
8,Combined,3.27,LL fishery,NA,7.21,4.54
9,Combined,3.44,LL fishery,NA,7.58,4.78
10,Combined,3.6,LL fishery,NA,7.94,5
11,Combined,3.74,LL fishery,NA,8.25,5.2
12,Combined,3.87,LL fishery,NA,8.53,5.37
13,Combined,3.99,LL fishery,NA,8.8,5.54
14,Combined,4.1,LL fishery,NA,9.04,5.7
15,Combined,4.2,LL fishery,NA,9.26,5.83
16,Combined,4.29,LL fishery,NA,9.46,5.96
17,Combined,4.37,LL fishery,NA,9.63,6.07
18,Combined,4.44,LL fishery,NA,9.79,6.17
19,Combined,4.51,LL fishery,NA,9.94,6.26
20,Combined,4.57,LL fishery,NA,10.08,6.35
21,Combined,4.62,LL fishery,NA,10.19,6.42
22,Combined,4.67,LL fishery,NA,10.3,6.49
23,Combined,4.71,LL fishery,NA,10.38,6.54
24,Combined,4.75,LL fishery,NA,10.47,6.6
25,Combined,4.79,LL fishery,NA,10.56,6.65
26,Combined,4.82,LL fishery,NA,10.63,6.7
27,Combined,4.85,LL fishery,NA,10.69,6.73
28,Combined,4.87,LL fishery,NA,10.74,6.77
29,Combined,4.9,LL fishery,NA,10.8,6.8
30,Combined,4.92,LL fishery,NA,10.85,6.84
31,Combined,4.94,LL fishery,NA,10.89,6.86
