age,sex,round_kg,Source,fork_length_cm,round_lb,easterncut_lb_0.63
2,Female,1.37,LL survey,51.832968835047666,3.02,1.9
3,Female,1.65,LL survey,54.571813699518465,3.64,2.29
4,Female,1.94,LL survey,57.08565691388347,4.28,2.7
5,Female,2.22,LL survey,59.39298281918994,4.89,3.08
6,Female,2.51,LL survey,61.510757230448526,5.53,3.48
7,Female,2.79,LL survey,63.45455218662139,6.15,3.87
8,Female,3.06,LL survey,65.23866045214604,6.75,4.25
9,Female,3.32,LL survey,66.87620061192732,7.32,4.61
10,Female,3.57,LL survey,68.37921353256304,7.87,4.96
11,Female,3.8,LL survey,69.75875089908455,8.38,5.28
12,Female,4.02,LL survey,71.02495647822501,8.86,5.58
13,Female,4.23,LL survey,72.18714070574545,9.33,5.88
14,Female,4.43,LL survey,73.25384914626125,9.77,6.16
15,Female,4.61,LL survey,74.23292532895502,10.16,6.4
16,Female,4.78,LL survey,75.1315684212087,10.54,6.64
17,Female,4.94,LL survey,75.95638616422985,10.89,6.86
18,Female,5.09,LL survey,76.71344345990923,11.22,7.07
19,Female,5.22,LL survey,77.4083069661695,11.51,7.25
20,Female,5.35,LL survey,78.04608602871595,11.79,7.43
21,Female,5.46,LL survey,78.63147025016077,12.04,7.59
22,Female,5.57,LL survey,79.16876397276808,12.28,7.74
23,Female,5.67,LL survey,79.66191792837128,12.5,7.88
24,Female,5.76,LL survey,80.11455828818588,12.7,8
25,Female,5.84,LL survey,80.53001332612118,12.87,8.11
26,Female,5.91,LL survey,80.91133789164718,13.03,8.21
27,Female,5.98,LL survey,81.26133587216566,13.18,8.3
28,Female,6.04,LL survey,81.58258081005224,13.32,8.39
29,Female,6.1,LL survey,81.87743482596645,13.45,8.47
30,Female,6.15,LL survey,82.14806598757386,13.56,8.54
31,Female,6.2,LL survey,82.39646425139227,13.67,8.61
2,Male,1.26,LL survey,50.71373511854349,2.78,1.75
3,Male,1.48,LL survey,52.843246102711625,3.26,2.05
4,Male,1.7,LL survey,54.72617518956457,3.75,2.36
5,Male,1.9,LL survey,56.39107477095925,4.19,2.64
6,Male,2.08,LL survey,57.86319107925899,4.59,2.89
7,Male,2.25,LL survey,59.16484701657786,4.96,3.12
8,Male,2.41,LL survey,60.31578065518031,5.31,3.35
9,Male,2.55,LL survey,61.33344454199451,5.62,3.54
10,Male,2.67,LL survey,62.23327034583784,5.89,3.71
11,Male,2.78,LL survey,63.028902860416906,6.13,3.86
12,Male,2.88,LL survey,63.732406911480595,6.35,4
13,Male,2.97,LL survey,64.35445030562826,6.55,4.13
14,Male,3.05,LL survey,64.90446559497552,6.72,4.23
15,Male,3.12,LL survey,65.39079311064708,6.88,4.33
16,Male,3.17,LL survey,65.82080743403063,6.99,4.4
17,Male,3.23,LL survey,66.20102922357852,7.12,4.49
18,Male,3.27,LL survey,66.53722409287838,7.21,4.54
19,Male,3.31,LL survey,66.83449003936171,7.3,4.6
20,Male,3.35,LL survey,67.09733474940344,7.39,4.66
21,Male,3.38,LL survey,67.32974395205254,7.45,4.69
22,Male,3.4,LL survey,67.53524185789746,7.5,4.72
23,Male,3.43,LL survey,67.71694459955009,7.56,4.76
24,Male,3.45,LL survey,67.8776074841101,7.61,4.79
25,Male,3.46,LL survey,68.01966677413715,7.63,4.81
26,Male,3.48,LL survey,68.14527663069026,7.67,4.83
27,Male,3.49,LL survey,68.25634177863157,7.69,4.84
28,Male,3.5,LL survey,68.35454638952537,7.72,4.86
29,Male,3.51,LL survey,68.4413796201073,7.74,4.88
30,Male,3.52,LL survey,68.51815819358434,7.76,4.89
31,Male,3.53,LL survey,68.58604636618443,7.78,4.9
2,Combined,1.26,LL survey,NA,2.78,1.75
3,Combined,1.55,LL survey,NA,3.42,2.15
4,Combined,1.84,LL survey,NA,4.06,2.56
5,Combined,2.11,LL survey,NA,4.65,2.93
6,Combined,2.37,LL survey,NA,5.22,3.29
7,Combined,2.61,LL survey,NA,5.75,3.62
8,Combined,2.83,LL survey,NA,6.24,3.93
9,Combined,3.03,LL survey,NA,6.68,4.21
10,Combined,3.22,LL survey,NA,7.1,4.47
11,Combined,3.38,LL survey,NA,7.45,4.69
12,Combined,3.52,LL survey,NA,7.76,4.89
13,Combined,3.65,LL survey,NA,8.05,5.07
14,Combined,3.77,LL survey,NA,8.31,5.24
15,Combined,3.87,LL survey,NA,8.53,5.37
16,Combined,3.96,LL survey,NA,8.73,5.5
17,Combined,4.04,LL survey,NA,8.91,5.61
18,Combined,4.11,LL survey,NA,9.06,5.71
19,Combined,4.17,LL survey,NA,9.19,5.79
20,Combined,4.22,LL survey,NA,9.3,5.86
21,Combined,4.26,LL survey,NA,9.39,5.92
22,Combined,4.3,LL survey,NA,9.48,5.97
23,Combined,4.34,LL survey,NA,9.57,6.03
24,Combined,4.37,LL survey,NA,9.63,6.07
25,Combined,4.4,LL survey,NA,9.7,6.11
26,Combined,4.42,LL survey,NA,9.74,6.14
27,Combined,4.44,LL survey,NA,9.79,6.17
28,Combined,4.46,LL survey,NA,9.83,6.19
29,Combined,4.47,LL survey,NA,9.85,6.21
30,Combined,4.48,LL survey,NA,9.88,6.22
31,Combined,4.5,LL survey,NA,9.92,6.25
