Parameter,Estimate,SE,Sex,Source,Years,Region,Function,n,Gear,Notes
a,1.064651498180682e-5,5.029034443392517e-7,Male,ADFG longline survey,1997-2023,Chatham Strait,Allometric - NLS,7311,NA,seak_sablefish/code/biological.r
b,3.0030580687426265,0.011285965999883343,Male,ADFG longline survey,1997-2023,Chatham Strait,Allometric - NLS,7311,NA,seak_sablefish/code/biological.r
a,7.679301116486507e-6,2.2556535416727234e-7,Female,ADFG longline survey,1997-2023,Chatham Strait,Allometric - NLS,8715,NA,seak_sablefish/code/biological.r
b,3.079243886682223,0.006769148409775664,Female,ADFG longline survey,1997-2023,Chatham Strait,Allometric - NLS,8715,NA,seak_sablefish/code/biological.r
a,8.385039572486245e-6,1.741524024218979e-7,Combined,ADFG longline survey,1997-2023,Chatham Strait,Allometric - NLS,16026,NA,seak_sablefish/code/biological.r
b,3.059296273314848,0.004836399085953429,Combined,ADFG longline survey,1997-2023,Chatham Strait,Allometric - NLS,16026,NA,seak_sablefish/code/biological.r
l_inf,85.22341100848114,0.3724674274494758,Female,ADFG longline survey,1997-2023,Chatham Strait,Length-based LVB,8715,Longline,seak_sablefish/code/biological.r
k,0.08570181609245256,0.0023656357594333947,Female,ADFG longline survey,1997-2023,Chatham Strait,Length-based LVB,8715,Longline,seak_sablefish/code/biological.r
t0,-8.874862400134289,0.30697238353231743,Female,ADFG longline survey,1997-2023,Chatham Strait,Length-based LVB,8715,Longline,seak_sablefish/code/biological.r
l_inf,69.1335931112913,0.1450608735470464,Male,ADFG longline survey,1997-2023,Chatham Strait,Length-based LVB,7311,Longline,seak_sablefish/code/biological.r
k,0.12179029691357177,0.00338753763355128,Male,ADFG longline survey,1997-2023,Chatham Strait,Length-based LVB,7311,Longline,seak_sablefish/code/biological.r
t0,-8.8554150813566,0.3510033279066175,Male,ADFG longline survey,1997-2023,Chatham Strait,Length-based LVB,7311,Longline,seak_sablefish/code/biological.r
l_inf,87.74628646758222,0.31252807339664296,Female,EQS longline fishery,2002-2023,Chatham Strait,Length-based LVB,20152,Longline,seak_sablefish/code/biological.r
k,0.062578181942444,0.0016121844962373915,Female,EQS longline fishery,2002-2023,Chatham Strait,Length-based LVB,20152,Longline,seak_sablefish/code/biological.r
t0,-15.459225699112887,0.4358745331161942,Female,EQS longline fishery,2002-2023,Chatham Strait,Length-based LVB,20152,Longline,seak_sablefish/code/biological.r
