year,Source,Sex,age,n,proportion,Age
2002,LL fishery,Female,2,1,8.1e-4,2
2003,LL fishery,Female,2,0,0,2
2004,LL fishery,Female,2,0,0,2
2005,LL fishery,Female,2,2,0.00161,2
2006,LL fishery,Female,2,0,0,2
2007,LL fishery,Female,2,0,0,2
2008,LL fishery,Female,2,0,0,2
2009,LL fishery,Female,2,0,0,2
2010,LL fishery,Female,2,1,0.00102,2
2011,LL fishery,Female,2,0,0,2
2012,LL fishery,Female,2,0,0,2
2013,LL fishery,Female,2,0,0,2
2014,LL fishery,Female,2,0,0,2
2015,LL fishery,Female,2,0,0,2
2016,LL fishery,Female,2,1,0.0011,2
2017,LL fishery,Female,2,0,0,2
2018,LL fishery,Female,2,0,0,2
2019,LL fishery,Female,2,1,0.00124,2
2020,LL fishery,Female,2,0,0,2
2021,LL fishery,Female,2,1,0.00201,2
2022,LL fishery,Female,2,0,0,2
2002,LL survey,Female,2,1,0.0034,2
2003,LL survey,Female,2,0,0,2
2004,LL survey,Female,2,0,0,2
2005,LL survey,Female,2,2,0.00398,2
2006,LL survey,Female,2,0,0,2
2007,LL survey,Female,2,0,0,2
2008,LL survey,Female,2,0,0,2
2009,LL survey,Female,2,1,0.00274,2
2010,LL survey,Female,2,3,0.00938,2
2011,LL survey,Female,2,1,0.00274,2
2012,LL survey,Female,2,0,0,2
2013,LL survey,Female,2,0,0,2
2014,LL survey,Female,2,0,0,2
2015,LL survey,Female,2,2,0.0069,2
2016,LL survey,Female,2,19,0.06032,2
2017,LL survey,Female,2,6,0.01729,2
2018,LL survey,Female,2,3,0.00865,2
2019,LL survey,Female,2,1,0.0037200000000000002,2
2020,LL survey,Female,2,3,0.008,2
2021,LL survey,Female,2,1,0.00271,2
2022,LL survey,Female,2,11,0.03245,2
1997,LL survey,Female,2,0,0,2
1998,LL survey,Female,2,1,0.0051,2
1999,LL survey,Female,2,9,0.06977,2
2000,LL survey,Female,2,3,0.01456,2
2001,LL survey,Female,2,1,0.00552,2
2022,Pot fishery,Female,2,0,0,2
2002,LL fishery,Male,2,1,9.9e-4,2
2003,LL fishery,Male,2,0,0,2
2004,LL fishery,Male,2,0,0,2
2005,LL fishery,Male,2,0,0,2
2006,LL fishery,Male,2,0,0,2
2007,LL fishery,Male,2,0,0,2
2008,LL fishery,Male,2,0,0,2
2009,LL fishery,Male,2,0,0,2
2010,LL fishery,Male,2,0,0,2
2011,LL fishery,Male,2,0,0,2
2012,LL fishery,Male,2,1,0.00167,2
2013,LL fishery,Male,2,0,0,2
2014,LL fishery,Male,2,0,0,2
2015,LL fishery,Male,2,0,0,2
2016,LL fishery,Male,2,4,0.008,2
2017,LL fishery,Male,2,3,0.00508,2
2018,LL fishery,Male,2,0,0,2
2019,LL fishery,Male,2,1,0.00203,2
2020,LL fishery,Male,2,1,0.00196,2
2021,LL fishery,Male,2,0,0,2
2022,LL fishery,Male,2,0,0,2
2002,LL survey,Male,2,0,0,2
2003,LL survey,Male,2,0,0,2
2004,LL survey,Male,2,0,0,2
2005,LL survey,Male,2,0,0,2
2006,LL survey,Male,2,0,0,2
2007,LL survey,Male,2,1,0.00304,2
2008,LL survey,Male,2,0,0,2
2009,LL survey,Male,2,0,0,2
2010,LL survey,Male,2,2,0.00702,2
2011,LL survey,Male,2,0,0,2
2012,LL survey,Male,2,1,0.00313,2
2013,LL survey,Male,2,0,0,2
2014,LL survey,Male,2,0,0,2
2015,LL survey,Male,2,2,0.00995,2
2016,LL survey,Male,2,13,0.05485,2
2017,LL survey,Male,2,3,0.012,2
2018,LL survey,Male,2,3,0.01395,2
2019,LL survey,Male,2,0,0,2
2020,LL survey,Male,2,2,0.00837,2
2021,LL survey,Male,2,7,0.02555,2
2022,LL survey,Male,2,3,0.00977,2
1997,LL survey,Male,2,0,0,2
1998,LL survey,Male,2,0,0,2
1999,LL survey,Male,2,6,0.04167,2
2000,LL survey,Male,2,4,0.02299,2
2001,LL survey,Male,2,2,0.00766,2
2022,Pot fishery,Male,2,0,0,2
2002,LL fishery,Sex combined,2,2,8.9e-4,2
2003,LL fishery,Sex combined,2,0,0,2
2004,LL fishery,Sex combined,2,0,0,2
2005,LL fishery,Sex combined,2,2,0.00115,2
2006,LL fishery,Sex combined,2,0,0,2
2007,LL fishery,Sex combined,2,0,0,2
2008,LL fishery,Sex combined,2,0,0,2
2009,LL fishery,Sex combined,2,0,0,2
2010,LL fishery,Sex combined,2,1,6.5e-4,2
2011,LL fishery,Sex combined,2,0,0,2
2012,LL fishery,Sex combined,2,1,6.6e-4,2
2013,LL fishery,Sex combined,2,0,0,2
2014,LL fishery,Sex combined,2,0,0,2
2015,LL fishery,Sex combined,2,0,0,2
2016,LL fishery,Sex combined,2,5,0.00354,2
2017,LL fishery,Sex combined,2,3,0.00211,2
2018,LL fishery,Sex combined,2,0,0,2
2019,LL fishery,Sex combined,2,2,0.00154,2
2020,LL fishery,Sex combined,2,1,7.7e-4,2
2021,LL fishery,Sex combined,2,1,0.00136,2
2022,LL fishery,Sex combined,2,0,0,2
2002,LL survey,Sex combined,2,1,0.00157,2
