Parameter,Estimate,SE,Sex,Gear,Source,Years,Region,Function,n,Notes
a,1.0343565705043228e-5,2.4354512567189674e-7,Female,Longline,Chatham longline and pot fishery,2002-2023,Chatham Strait,Allometric - NLS,20424,seak_sablefish/code/biological.r
b,3.014875643096554,0.00539048979190482,Female,Longline,Chatham longline and pot fishery,2002-2023,Chatham Strait,Allometric - NLS,20424,seak_sablefish/code/biological.r
a,1.0906069396995876e-5,1.4758181275100541e-6,Female,Pot,Chatham longline and pot fishery,2002-2023,Chatham Strait,Allometric - NLS,849,seak_sablefish/code/biological.r
b,2.994947468122145,0.032187353423204425,Female,Pot,Chatham longline and pot fishery,2002-2023,Chatham Strait,Allometric - NLS,849,seak_sablefish/code/biological.r
a,1.8217589476249187e-5,8.349823227264932e-7,Male,Longline,Chatham longline and pot fishery,2002-2023,Chatham Strait,Allometric - NLS,12154,seak_sablefish/code/biological.r
b,2.8842089593388063,0.010874958639248339,Male,Longline,Chatham longline and pot fishery,2002-2023,Chatham Strait,Allometric - NLS,12154,seak_sablefish/code/biological.r
a,1.4619481439875046e-5,3.6157985446741632e-6,Male,Pot,Chatham longline and pot fishery,2002-2023,Chatham Strait,Allometric - NLS,333,seak_sablefish/code/biological.r
b,2.9284268780889273,0.05982274623937872,Male,Pot,Chatham longline and pot fishery,2002-2023,Chatham Strait,Allometric - NLS,333,seak_sablefish/code/biological.r
l_inf,85.22341100848114,0.3724674274494758,Female,Longline,ADFG longline survey,1997-2023,Chatham Strait,Length-based LVB,8715,seak_sablefish/code/biological.r
k,0.08570181609245256,0.0023656357594333947,Female,Longline,ADFG longline survey,1997-2023,Chatham Strait,Length-based LVB,8715,seak_sablefish/code/biological.r
t0,-8.874862400134289,0.30697238353231743,Female,Longline,ADFG longline survey,1997-2023,Chatham Strait,Length-based LVB,8715,seak_sablefish/code/biological.r
l_inf,69.1335931112913,0.1450608735470464,Male,Longline,ADFG longline survey,1997-2023,Chatham Strait,Length-based LVB,7311,seak_sablefish/code/biological.r
k,0.12179029691357177,0.00338753763355128,Male,Longline,ADFG longline survey,1997-2023,Chatham Strait,Length-based LVB,7311,seak_sablefish/code/biological.r
t0,-8.8554150813566,0.3510033279066175,Male,Longline,ADFG longline survey,1997-2023,Chatham Strait,Length-based LVB,7311,seak_sablefish/code/biological.r
l_inf,87.65765676301066,0.30124323293459954,Female,Longline,EQS longline fishery,1997-2023,Chatham Strait,Length-based LVB,21001,seak_sablefish/code/biological.r
k,0.06355379767578449,0.001565920761754643,Female,Longline,EQS longline fishery,1997-2023,Chatham Strait,Length-based LVB,21001,seak_sablefish/code/biological.r
t0,-15.032322220791174,0.4070124525147159,Female,Longline,EQS longline fishery,1997-2023,Chatham Strait,Length-based LVB,21001,seak_sablefish/code/biological.r
l_inf,70.88428219222001,0.1685828501214556,Male,Longline,EQS longline fishery,1997-2023,Chatham Strait,Length-based LVB,12324,seak_sablefish/code/biological.r
k,0.07415517863872405,0.002713698802767575,Male,Longline,EQS longline fishery,1997-2023,Chatham Strait,Length-based LVB,12324,seak_sablefish/code/biological.r
t0,-19.679900208538953,0.8261556692681515,Male,Longline,EQS longline fishery,1997-2023,Chatham Strait,Length-based LVB,12324,seak_sablefish/code/biological.r
l_inf,87.74628646758222,0.31252807339664296,Female,Longline,EQS longline & pot fishery,1997-2023,Chatham Strait,Length-based LVB,20152,seak_sablefish/code/biological.r
k,0.062578181942444,0.0016121844962373915,Female,Longline,EQS longline & pot fishery,1997-2023,Chatham Strait,Length-based LVB,20152,seak_sablefish/code/biological.r
