year,N_current,q025,q975,abundance_age2plus,abc_round_lbs,harvest_policy,notes,source
2005,1662182.6492245262,1426903.6583870647,1942048.004120302,1948450,2255115,F_40%,NA,"abundance from Dressel FDS 09-50 2012; abc and biomass from Dressel's 1997-2010 chatham forecast summary matrix 11-29-11; Dressel 2009 Fishery Data Series No. 09-50 Table 2
"
2006,2122203.2691610553,1753089.0524947292,2592566.4230097993,2427828,1340350,F_40%,NA,"abundance from Dressel FDS 09-50 2012; abc and biomass from Dressel's 1997-2010 chatham forecast summary matrix 11-29-11; Dressel 2009 Fishery Data Series No. 09-50 Table 2 
"
2007,2725542.809091915,2210853.530951536,3365770.9243648923,2333684,1623219,F_40%,"abundance not reported for 2007-2009, Sullivan ineterpolated at equal intervals",abc and biomass from Dressel's 1997-2010 chatham forecast summary matrix 11-29-11
2008,1711115.6890436537,1446163.194919334,2032585.2682749175,1939648,1623219,F_40%,"abundance not reported for 2007-2009, Sullivan ineterpolated at equal intervals; no forecast conducted for 2008, Dressel assumed biomass values equal to previous year",abc and biomass from Dressel's 1997-2010 chatham forecast summary matrix 11-29-11
2009,2436964.3302136045,2021067.8585463085,2949462.293998365,2145395,1290868,F_45%,"abundance not reported for 2007-2009, Sullivan ineterpolated at equal intervals",abc and biomass from Dressel's 1997-2010 chatham forecast summary matrix 11-29-11
2010,2174689.574636929,1838648.0923386528,2580938.256581415,2051250,1250961,F_50%,NA,2013 NSEI Memo Van Kirk
2012,1810723.7622400636,1548297.4003523237,2129474.365933094,1967917,1160674,F_50%,NA,2013 NSEI Memo Van Kirk
2013,1985850.731561512,1697565.284713329,2340353.627021685,1905712,1049391,F_50%,"Kirk started using survey weight-at-age to apportion biomass , selected for mgt",2013 NSEI Memo Van Kirk
2015,1855965.2957790287,1555983.4523593322,2221020.29667935,1766525,986481,F_50%,NA,2015 NSEI assessment Van Kirk
2017,2046752.4213743662,1709319.7693468987,2469185.804171312,1927382,850113,F_50%,"hindcast, not used for mgt",2018 NSEI assessment Sullivan (ABC from 2017 NSEI assessment Van Kirk)
2018,2895579.2806979017,2419428.879465502,3473814.2374895504,2060000,965354,F_50%,"estimate, abundance is MR abundance from 2020 forecast",2019 NSEI forecast Sullivan
2019,3221133.601391424,2651927.2960333154,3917880.4023142606,3010000,1058037,F_50%,"forecast, abundance is MR abundance from 2020 forecast",2019 NSEI forecast Sullivan
2020,3129633.0758888805,2512780.6702920008,3896359.3734406913,3140000,1216743,F_50%,"forecast, abundance is MR abundance from 2020 forecast",2020 NSEI http://www.adfg.alaska.gov/FedAidPDFs/RIR.5J.2020.05.pdf
