Parameter,Estimate,SE,Sex,Source,Years,Region,Function,n,Notes
a,1.1070470147757901e-5,5.365881587480378e-7,Male,ADFG longline survey,1997-2022,Chatham Strait,Allometric - NLS,7009,seak_sablefish/code/biological.r
b,2.993958656701506,0.011575240046645095,Male,ADFG longline survey,1997-2022,Chatham Strait,Allometric - NLS,7009,seak_sablefish/code/biological.r
a,7.756538492801343e-6,2.3351396066576075e-7,Female,ADFG longline survey,1997-2022,Chatham Strait,Allometric - NLS,8348,seak_sablefish/code/biological.r
b,3.07708285670897,0.006933689206033969,Female,ADFG longline survey,1997-2022,Chatham Strait,Allometric - NLS,8348,seak_sablefish/code/biological.r
a,8.491948149990994e-6,1.804296988219549e-7,Combined,ADFG longline survey,1997-2022,Chatham Strait,Allometric - NLS,15357,seak_sablefish/code/biological.r
b,3.0565142759979875,0.004944618628931347,Combined,ADFG longline survey,1997-2022,Chatham Strait,Allometric - NLS,15357,seak_sablefish/code/biological.r
l_inf,85.17170740923751,0.37602259234845864,Female,ADFG longline survey,1997-2022,Chatham Strait,Length-based LVB,8348,seak_sablefish/code/biological.r
k,0.08572350598590622,0.002417193935561406,Female,ADFG longline survey,1997-2022,Chatham Strait,Length-based LVB,8348,seak_sablefish/code/biological.r
t0,-8.94156443834665,0.31627692344799413,Female,ADFG longline survey,1997-2022,Chatham Strait,Length-based LVB,8348,seak_sablefish/code/biological.r
l_inf,69.10444863429018,0.14459380140291095,Male,ADFG longline survey,1997-2022,Chatham Strait,Length-based LVB,7009,seak_sablefish/code/biological.r
k,0.12306377916308293,0.0034615375742113315,Male,ADFG longline survey,1997-2022,Chatham Strait,Length-based LVB,7009,seak_sablefish/code/biological.r
t0,-8.756806595580143,0.35308286473969697,Male,ADFG longline survey,1997-2022,Chatham Strait,Length-based LVB,7009,seak_sablefish/code/biological.r
l_inf,87.81948257468407,0.323199364132045,Female,EQS longline fishery,1997-2022,Chatham Strait,Length-based LVB,18768,seak_sablefish/code/biological.r
k,0.062269472850558595,0.0016713085032384496,Female,EQS longline fishery,1997-2022,Chatham Strait,Length-based LVB,18768,seak_sablefish/code/biological.r
t0,-15.649562134735243,0.46045907278431,Female,EQS longline fishery,1997-2022,Chatham Strait,Length-based LVB,18768,seak_sablefish/code/biological.r
l_inf,71.03487873726961,0.18867625407898553,Male,EQS longline fishery,1997-2022,Chatham Strait,Length-based LVB,11356,seak_sablefish/code/biological.r
k,0.07019337976453906,0.002857056904860911,Male,EQS longline fishery,1997-2022,Chatham Strait,Length-based LVB,11356,seak_sablefish/code/biological.r
t0,-21.359638045935256,0.9748624606644498,Male,EQS longline fishery,1997-2022,Chatham Strait,Length-based LVB,11356,seak_sablefish/code/biological.r
w_inf,6.395636485573548,0.08920334208523405,Female,ADFG longline survey,1997-2022,Chatham Strait,Weight-based LVB,8348,seak_sablefish/code/biological.r
k,0.09764853562939295,0.002661025082486247,Female,ADFG longline survey,1997-2022,Chatham Strait,Weight-based LVB,8348,seak_sablefish/code/biological.r
