year,fsh_cpue,var,se,upper,lower,CPUE,cpue
1980,0.7190985,0.201,0.0405902,0.8002789,0.6379181,GAM,0.719
1981,0.9796333,0.201,0.0405902,1.0608137,0.8984529,GAM,0.98
1982,1.240168,0.201,0.0405902,1.3213484,1.1589876,GAM,1.24
1983,1.5213557,0.201,0.0405902,1.6025361,1.4401753,GAM,1.521
1984,1.304248,0.201,0.0405902,1.3854284,1.2230677,GAM,1.304
1985,1.8795339,0.201,0.0405902,1.9607142,1.7983535,GAM,1.88
1986,1.5805372,0.201,0.0405902,1.6617176,1.4993568,GAM,1.581
1987,1.704394,0.201,0.0405902,1.7855744,1.6232136,GAM,1.704
1988,1.5794883,0.201,0.0405902,1.6606687,1.4983079,GAM,1.579
1989,1.155881,0.201,0.0405902,1.2370614,1.0747007,GAM,1.156
1990,1.4018294,0.201,0.0405902,1.4830098,1.320649,GAM,1.402
1991,1.2671615,0.201,0.0405902,1.3483419,1.1859812,GAM,1.267
1992,1.4684424,0.201,0.0405902,1.5496228,1.387262,GAM,1.468
1993,1.5873016,0.201,0.0405902,1.668482,1.5061212,GAM,1.587
1994,0.992725,0.201,0.0405902,1.0739054,0.9115446,GAM,0.993
1995,0.838343,0.201,0.0405902,0.9195234,0.7571626,GAM,0.838
1996,0.730465,0.201,0.0405902,0.8116454,0.6492846,GAM,0.73
1997,0.6263387,0.182,0.03302581,0.6923903,0.5659978,GAM,0.626
1998,0.5162486,0.152,0.0231691,0.5625869,0.4732963,GAM,0.516
1999,0.4806997,0.146,0.02126079,0.5232213,0.441218,GAM,0.481
2000,0.483199,0.146,0.0213099,0.5258188,0.4436198,GAM,0.483
2001,0.5186127,0.156,0.02420914,0.567031,0.4738654,GAM,0.519
2002,0.623015,0.171,0.02930425,0.6816235,0.5689669,GAM,0.623
2003,0.7411887,0.19,0.03613815,0.813465,0.6748147,GAM,0.741
2004,0.6761014,0.182,0.03328341,0.7426682,0.6149766,GAM,0.676
2005,0.6665231,0.181,0.03285514,0.7322334,0.6061845,GAM,0.667
2006,0.6644856,0.179,0.03187257,0.7282307,0.605821,GAM,0.664
2007,0.7536065,0.194,0.03758122,0.8287689,0.6847187,GAM,0.754
2008,0.8765729,0.21,0.04411318,0.9647993,0.7958572,GAM,0.877
2009,0.7956635,0.205,0.04207475,0.879813,0.7189569,GAM,0.796
2010,0.7896362,0.207,0.0426861,0.8750084,0.7119637,GAM,0.79
2011,0.8407229,0.22,0.04835449,0.9374319,0.753283,GAM,0.841
2012,0.8971841,0.225,0.05079554,0.9987752,0.8052354,GAM,0.897
2013,0.8493268,0.222,0.04920425,0.9477353,0.760419,GAM,0.849
2014,0.8330105,0.223,0.04956772,0.9321459,0.7436664,GAM,0.833
2015,0.7370613,0.204,0.04180231,0.820666,0.6612906,GAM,0.737
2016,0.840845,0.228,0.05181047,0.9444659,0.7477917,GAM,0.841
2017,0.7715469,0.213,0.04530019,0.8621473,0.6897375,GAM,0.772
2018,0.8384906,0.221,0.04896365,0.9364179,0.7500769,GAM,0.838
2019,0.8064272,0.223,0.04989681,0.9062209,0.7168185,GAM,0.806
2020,0.814625,0.223,0.0495552,0.9137355,0.7254839,GAM,0.815
2021,0.8907541,0.232,0.0536652,0.9980845,0.7941932,GAM,0.891
2022,0.9695687,0.252,0.06354574,1.0966601,0.8563033,GAM,0.97
