age,sex,round_kg,Source,fork_length_cm,round_lb,easterncut_lb_0.63
2,Female,1.36,LL survey,51.74712263804971,3,1.89
3,Female,1.64,LL survey,54.51321800690203,3.62,2.28
4,Female,1.93,LL survey,57.05027572924483,4.25,2.68
5,Female,2.22,LL survey,59.37726053207533,4.89,3.08
6,Female,2.51,LL survey,61.511566829057784,5.53,3.48
7,Female,2.79,LL survey,63.46914874527742,6.15,3.87
8,Female,3.06,LL survey,65.26463937571229,6.75,4.25
9,Female,3.33,LL survey,66.91146016889014,7.34,4.62
10,Female,3.58,LL survey,68.4219212533827,7.89,4.97
11,Female,3.81,LL survey,69.80731345708683,8.4,5.29
12,Female,4.04,LL survey,71.07799270714446,8.91,5.61
13,Female,4.25,LL survey,72.24345744139801,9.37,5.9
14,Female,4.44,LL survey,73.31241961003899,9.79,6.17
15,Female,4.63,LL survey,74.29286979819288,10.21,6.43
16,Female,4.8,LL survey,75.19213695623755,10.58,6.67
17,Female,4.96,LL survey,76.01694318434424,10.93,6.89
18,Female,5.11,LL survey,76.77345398076075,11.27,7.1
19,Female,5.24,LL survey,77.46732432944673,11.55,7.28
20,Female,5.37,LL survey,78.10374097157026,11.84,7.46
21,Female,5.48,LL survey,78.68746117684897,12.08,7.61
22,Female,5.59,LL survey,79.22284830455467,12.32,7.76
23,Female,5.68,LL survey,79.71390442000316,12.52,7.89
24,Female,5.77,LL survey,80.16430021034034,12.72,8.01
25,Female,5.85,LL survey,80.57740242324769,12.9,8.13
26,Female,5.93,LL survey,80.95629903367377,13.07,8.23
27,Female,6,LL survey,81.3038223267155,13.23,8.33
28,Female,6.06,LL survey,81.6225700691953,13.36,8.42
29,Female,6.11,LL survey,81.91492492819398,13.47,8.49
30,Female,6.17,LL survey,82.18307228169424,13.6,8.57
31,Female,6.21,LL survey,82.429016554471,13.69,8.62
2,Male,1.26,LL survey,50.72399775804194,2.78,1.75
3,Male,1.48,LL survey,52.862379163081016,3.26,2.05
4,Male,1.7,LL survey,54.75169216036018,3.75,2.36
5,Male,1.9,LL survey,56.42094704317785,4.19,2.64
6,Male,2.09,LL survey,57.89577512503797,4.61,2.9
7,Male,2.26,LL survey,59.198822307006765,4.98,3.14
8,Male,2.41,LL survey,60.35009680423174,5.31,3.35
9,Male,2.55,LL survey,61.367276370944005,5.62,3.54
10,Male,2.68,LL survey,62.26597974136596,5.91,3.72
11,Male,2.79,LL survey,63.06000645448442,6.15,3.87
12,Male,2.89,LL survey,63.76154874518449,6.37,4.01
13,Male,2.98,LL survey,64.3813787553208,6.57,4.14
14,Male,3.05,LL survey,64.9290139393411,6.72,4.23
15,Male,3.12,LL survey,65.41286320425651,6.88,4.33
16,Male,3.18,LL survey,65.84035602792889,7.01,4.42
17,Male,3.23,LL survey,66.21805653827963,7.12,4.49
18,Male,3.28,LL survey,66.55176430509945,7.23,4.55
19,Male,3.32,LL survey,66.8466033921117,7.32,4.61
20,Male,3.35,LL survey,67.10710103667853,7.39,4.66
21,Male,3.38,LL survey,67.3372571652723,7.45,4.69
22,Male,3.41,LL survey,67.54060581211844,7.52,4.74
23,Male,3.43,LL survey,67.72026938408939,7.56,4.76
24,Male,3.45,LL survey,67.87900660508394,7.61,4.79
25,Male,3.47,LL survey,68.01925487607537,7.65,4.82
26,Male,3.48,LL survey,68.14316770126439,7.67,4.83
27,Male,3.49,LL survey,68.25264775501321,7.69,4.84
28,Male,3.5,LL survey,68.34937609730196,7.72,4.86
29,Male,3.51,LL survey,68.43483798630862,7.74,4.88
30,Male,3.52,LL survey,68.5103456844638,7.76,4.89
31,Male,3.53,LL survey,68.57705860816536,7.78,4.9
2,Combined,1.26,LL survey,NA,2.78,1.75
3,Combined,1.55,LL survey,NA,3.42,2.15
4,Combined,1.84,LL survey,NA,4.06,2.56
5,Combined,2.12,LL survey,NA,4.67,2.94
6,Combined,2.38,LL survey,NA,5.25,3.31
7,Combined,2.62,LL survey,NA,5.78,3.64
8,Combined,2.84,LL survey,NA,6.26,3.94
9,Combined,3.05,LL survey,NA,6.72,4.23
10,Combined,3.23,LL survey,NA,7.12,4.49
11,Combined,3.39,LL survey,NA,7.47,4.71
12,Combined,3.54,LL survey,NA,7.8,4.91
13,Combined,3.67,LL survey,NA,8.09,5.1
14,Combined,3.78,LL survey,NA,8.33,5.25
15,Combined,3.88,LL survey,NA,8.55,5.39
16,Combined,3.97,LL survey,NA,8.75,5.51
17,Combined,4.05,LL survey,NA,8.93,5.63
18,Combined,4.12,LL survey,NA,9.08,5.72
19,Combined,4.18,LL survey,NA,9.22,5.81
20,Combined,4.23,LL survey,NA,9.33,5.88
21,Combined,4.28,LL survey,NA,9.44,5.95
22,Combined,4.32,LL survey,NA,9.52,6
23,Combined,4.35,LL survey,NA,9.59,6.04
24,Combined,4.38,LL survey,NA,9.66,6.09
25,Combined,4.41,LL survey,NA,9.72,6.12
26,Combined,4.43,LL survey,NA,9.77,6.16
27,Combined,4.45,LL survey,NA,9.81,6.18
28,Combined,4.46,LL survey,NA,9.83,6.19
29,Combined,4.48,LL survey,NA,9.88,6.22
30,Combined,4.49,LL survey,NA,9.9,6.24
31,Combined,4.5,LL survey,NA,9.92,6.25
