Year,$K$,$K_0$,$D_0$,$k_{srv}$,$n_{srv}$,$D_{srv}$,$k_{fsh}$,$n_{fsh}$,$D_{fsh}$
2005,7118,7118,9,0,0,104,690,180999,84
2006,5325,5325,3,0,0,46,503,203878,38
2007,6158,6055,2,0,0,43,335,150729,61
2008,5450,5412,4,40,15319,54,431,156313,71
2009,7071,7054,7,0,0,51,285,105709,62
2010,7443,7307,4,54,14765,60,331,106201,28
2012,7582,7548,23,0,0,70,380,97134,53
2013,7961,7921,24,0,0,89,374,99286,113
2015,6862,6765,1,0,0,73,242,70273,32
2017,7096,6933,3,0,0,42,197,60409,11
2018,9678,9160,13,0,0,77,183,65940,135
2019,11094,10208,6,0,0,51,155,47995,123
2020,7916,7824,6,0,0,75,163,70262,156
