Year,$K$,$K_0$,$D_0$,$k_{srv}$,$n_{srv}$,$D_{srv}$,$k_{fsh}$,$n_{fsh}$,$D_{fsh}$
2005,7118,7118,9,0,0,104,1234,319773,153
2006,5325,5325,3,0,0,46,916,371590,68
2007,6158,6055,2,0,0,43,619,278916,107
2008,5450,5412,4,40,15319,54,770,283910,110
2009,7071,7054,7,0,0,51,526,192765,116
2010,7443,7307,4,54,14765,60,654,209019,50
2012,7582,7548,23,0,0,70,745,189809,83
2013,7961,7921,24,0,0,89,723,196273,200
2015,6862,6765,1,0,0,73,486,140717,56
2017,7096,6933,3,0,0,42,394,120818,11
2018,9678,9160,13,0,0,77,369,132557,226
2019,11094,10208,6,0,0,51,309,95185,217
2020,7916,7824,6,0,0,75,163,70262,156
