year,Source,Sex,age,weight
2005,LL survey,Female,2,1.5
2006,LL survey,Female,2,2.8
2007,LL survey,Female,2,1.7
2008,LL survey,Female,2,1.6
2009,LL survey,Female,2,1.6
2010,LL survey,Female,2,1
2011,LL survey,Female,2,1.2
2012,LL survey,Female,2,1.8
2013,LL survey,Female,2,1.1
2014,LL survey,Female,2,1.4
2015,LL survey,Female,2,1.6
2016,LL survey,Female,2,1.4
2017,LL survey,Female,2,1
2005,LL fishery,Female,2,2.2
2006,LL fishery,Female,2,1.8
2007,LL fishery,Female,2,1.1
2008,LL fishery,Female,2,1.5
2009,LL fishery,Female,2,2.7
2010,LL fishery,Female,2,4.4
2011,LL fishery,Female,2,2.2
2012,LL fishery,Female,2,2.1
2013,LL fishery,Female,2,1.5
2014,LL fishery,Female,2,2.5
2015,LL fishery,Female,2,1.4
2016,LL fishery,Female,2,1.9
2017,LL fishery,Female,2,1.9
2005,LL survey,Male,2,2.2
2006,LL survey,Male,2,1.4
2007,LL survey,Male,2,1.7
2008,LL survey,Male,2,1.4
2009,LL survey,Male,2,1.5
2010,LL survey,Male,2,1.1
2011,LL survey,Male,2,1.3
2012,LL survey,Male,2,0.9
2013,LL survey,Male,2,1.5
2014,LL survey,Male,2,0.9
2015,LL survey,Male,2,1.1
2016,LL survey,Male,2,1.2
2017,LL survey,Male,2,1.2
2005,LL fishery,Male,2,2.2
2006,LL fishery,Male,2,2
2007,LL fishery,Male,2,2.2
2008,LL fishery,Male,2,1.8
2009,LL fishery,Male,2,2.4
2010,LL fishery,Male,2,1.9
2011,LL fishery,Male,2,1.9
2012,LL fishery,Male,2,2.1
2013,LL fishery,Male,2,2.3
2014,LL fishery,Male,2,2
2015,LL fishery,Male,2,2.1
2016,LL fishery,Male,2,1.5
2017,LL fishery,Male,2,1.8
2005,LL survey,Female,3,1.7
2006,LL survey,Female,3,2.8
2007,LL survey,Female,3,1.7
2008,LL survey,Female,3,1.6
2009,LL survey,Female,3,1
2010,LL survey,Female,3,1.3
2011,LL survey,Female,3,1.4
2012,LL survey,Female,3,1.8
2013,LL survey,Female,3,1.1
2014,LL survey,Female,3,1.4
2015,LL survey,Female,3,1.7
2016,LL survey,Female,3,1.7
2017,LL survey,Female,3,1.5
2005,LL fishery,Female,3,2
2006,LL fishery,Female,3,1.8
2007,LL fishery,Female,3,1.1
2008,LL fishery,Female,3,1.5
2009,LL fishery,Female,3,2.7
2010,LL fishery,Female,3,2.5
2011,LL fishery,Female,3,2.2
2012,LL fishery,Female,3,2.1
2013,LL fishery,Female,3,1.5
2014,LL fishery,Female,3,2.5
2015,LL fishery,Female,3,1.4
2016,LL fishery,Female,3,2.1
2017,LL fishery,Female,3,1.9
2005,LL survey,Male,3,2.2
2006,LL survey,Male,3,1.4
2007,LL survey,Male,3,1.6
2008,LL survey,Male,3,1.4
2009,LL survey,Male,3,1.5
2010,LL survey,Male,3,1.2
2011,LL survey,Male,3,1.3
2012,LL survey,Male,3,1.9
2013,LL survey,Male,3,1.5
2014,LL survey,Male,3,0.9
2015,LL survey,Male,3,1.4
2016,LL survey,Male,3,1.6
2017,LL survey,Male,3,1.4
2005,LL fishery,Male,3,2.2
2006,LL fishery,Male,3,2
2007,LL fishery,Male,3,2.2
2008,LL fishery,Male,3,1.8
2009,LL fishery,Male,3,2.4
2010,LL fishery,Male,3,1.9
2011,LL fishery,Male,3,1.9
2012,LL fishery,Male,3,2.1
