age,sex,round_kg,Source,fork_length_cm,round_lb,easterncut_lb_0.63
2,Female,1.37,LL survey,51.82352937731117,3.02,1.9
3,Female,1.64,LL survey,54.526004574738664,3.62,2.28
4,Female,1.92,LL survey,57.011017354903906,4.23,2.66
5,Female,2.21,LL survey,59.296066454878186,4.87,3.07
6,Female,2.49,LL survey,61.3972425256693,5.49,3.46
7,Female,2.76,LL survey,63.32934143790488,6.08,3.83
8,Female,3.03,LL survey,65.105968470049,6.68,4.21
9,Female,3.29,LL survey,66.73963411281525,7.25,4.57
10,Female,3.53,LL survey,68.24184216440268,7.78,4.9
11,Female,3.77,LL survey,69.62317073689628,8.31,5.24
12,Female,3.99,LL survey,70.89334674425486,8.8,5.54
13,Female,4.2,LL survey,72.0613143964094,9.26,5.83
14,Female,4.4,LL survey,73.13529818178749,9.7,6.11
15,Female,4.58,LL survey,74.12286078176818,10.1,6.36
16,Female,4.76,LL survey,75.03095632488409,10.49,6.61
17,Female,4.92,LL survey,75.86597935577156,10.85,6.84
18,Female,5.06,LL survey,76.63380986369367,11.16,7.03
19,Female,5.2,LL survey,77.33985468771408,11.46,7.22
20,Female,5.33,LL survey,77.98908559008476,11.75,7.4
21,Female,5.45,LL survey,78.58607426594942,12.02,7.57
22,Female,5.56,LL survey,79.13502453589076,12.26,7.72
23,Female,5.66,LL survey,79.63980194801204,12.48,7.86
24,Female,5.75,LL survey,80.10396099800226,12.68,7.99
25,Female,5.83,LL survey,80.53077015886082,12.85,8.1
26,Female,5.91,LL survey,80.92323489653343,13.03,8.21
27,Female,5.98,LL survey,81.28411883352902,13.18,8.3
28,Female,6.05,LL survey,81.61596320954554,13.34,8.4
29,Female,6.11,LL survey,81.92110477614048,13.47,8.49
30,Female,6.16,LL survey,82.20169225145564,13.58,8.56
31,Female,6.21,LL survey,82.45970145086523,13.69,8.62
2,Male,1.28,LL survey,50.86029578364302,2.82,1.78
3,Male,1.49,LL survey,52.909265114361666,3.28,2.07
4,Male,1.69,LL survey,54.72959869461929,3.73,2.35
5,Male,1.89,LL survey,56.34680901286809,4.17,2.63
6,Male,2.07,LL survey,57.7835617277635,4.56,2.87
7,Male,2.23,LL survey,59.05999333376176,4.92,3.1
8,Male,2.38,LL survey,60.19399337976824,5.25,3.31
9,Male,2.52,LL survey,61.20145519621001,5.56,3.5
10,Male,2.64,LL survey,62.096498644543665,5.82,3.67
11,Male,2.76,LL survey,62.89166801109532,6.08,3.83
12,Male,2.86,LL survey,63.59810781877096,6.31,3.98
13,Male,2.94,LL survey,64.22571902068762,6.48,4.08
14,Male,3.02,LL survey,64.78329776482336,6.66,4.2
15,Male,3.09,LL survey,65.27865867451162,6.81,4.29
16,Male,3.15,LL survey,65.71874437259099,6.94,4.37
17,Male,3.21,LL survey,66.10972278422197,7.08,4.46
18,Male,3.26,LL survey,66.45707358209754,7.19,4.53
19,Male,3.3,LL survey,66.76566498560108,7.28,4.59
20,Male,3.34,LL survey,67.0398219902739,7.36,4.64
21,Male,3.37,LL survey,67.28338698384741,7.43,4.68
22,Male,3.4,LL survey,67.4997735983906,7.5,4.72
23,Male,3.42,LL survey,67.69201455332629,7.54,4.75
24,Male,3.44,LL survey,67.86280415984884,7.58,4.78
25,Male,3.46,LL survey,68.01453608245549,7.63,4.81
26,Male,3.48,LL survey,68.14933688682919,7.67,4.83
27,Male,3.49,LL survey,68.2690958442564,7.69,4.84
28,Male,3.51,LL survey,68.37549141029687,7.74,4.88
29,Male,3.52,LL survey,68.4700147488117,7.76,4.89
30,Male,3.53,LL survey,68.55399063104524,7.78,4.9
31,Male,3.54,LL survey,68.6285960026678,7.8,4.91
2,Combined,1.27,LL survey,NA,2.8,1.76
3,Combined,1.55,LL survey,NA,3.42,2.15
4,Combined,1.83,LL survey,NA,4.03,2.54
5,Combined,2.09,LL survey,NA,4.61,2.9
6,Combined,2.35,LL survey,NA,5.18,3.26
7,Combined,2.58,LL survey,NA,5.69,3.58
8,Combined,2.8,LL survey,NA,6.17,3.89
9,Combined,3,LL survey,NA,6.61,4.16
10,Combined,3.18,LL survey,NA,7.01,4.42
11,Combined,3.34,LL survey,NA,7.36,4.64
12,Combined,3.49,LL survey,NA,7.69,4.84
13,Combined,3.62,LL survey,NA,7.98,5.03
14,Combined,3.74,LL survey,NA,8.25,5.2
15,Combined,3.84,LL survey,NA,8.47,5.34
16,Combined,3.93,LL survey,NA,8.66,5.46
17,Combined,4.01,LL survey,NA,8.84,5.57
18,Combined,4.09,LL survey,NA,9.02,5.68
19,Combined,4.15,LL survey,NA,9.15,5.76
20,Combined,4.2,LL survey,NA,9.26,5.83
21,Combined,4.25,LL survey,NA,9.37,5.9
22,Combined,4.29,LL survey,NA,9.46,5.96
23,Combined,4.33,LL survey,NA,9.55,6.02
24,Combined,4.36,LL survey,NA,9.61,6.05
25,Combined,4.39,LL survey,NA,9.68,6.1
26,Combined,4.42,LL survey,NA,9.74,6.14
27,Combined,4.44,LL survey,NA,9.79,6.17
28,Combined,4.46,LL survey,NA,9.83,6.19
29,Combined,4.48,LL survey,NA,9.88,6.22
30,Combined,4.49,LL survey,NA,9.9,6.24
31,Combined,4.5,LL survey,NA,9.92,6.25
