year,Source,Sex,length_bin,n,proportion
2002,LL fishery,Female,41,0,0
2003,LL fishery,Female,41,0,0
2004,LL fishery,Female,41,0,0
2005,LL fishery,Female,41,0,0
2006,LL fishery,Female,41,0,0
2007,LL fishery,Female,41,0,0
2008,LL fishery,Female,41,0,0
2009,LL fishery,Female,41,0,0
2010,LL fishery,Female,41,0,0
2011,LL fishery,Female,41,0,0
2012,LL fishery,Female,41,0,0
2013,LL fishery,Female,41,0,0
2014,LL fishery,Female,41,0,0
2015,LL fishery,Female,41,0,0
2016,LL fishery,Female,41,0,0
2017,LL fishery,Female,41,0,0
2018,LL fishery,Female,41,0,0
2019,LL fishery,Female,41,0,0
2020,LL fishery,Female,41,0,0
2002,LL survey,Female,41,0,0
2003,LL survey,Female,41,0,0
2004,LL survey,Female,41,0,0
2005,LL survey,Female,41,0,0
2006,LL survey,Female,41,0,0
2007,LL survey,Female,41,0,0
2008,LL survey,Female,41,0,0
2009,LL survey,Female,41,0,0
2010,LL survey,Female,41,0,0
2011,LL survey,Female,41,0,0
2012,LL survey,Female,41,1,0.0025
2013,LL survey,Female,41,0,0
2014,LL survey,Female,41,0,0
2015,LL survey,Female,41,0,0
2016,LL survey,Female,41,0,0
2017,LL survey,Female,41,0,0
2018,LL survey,Female,41,0,0
2019,LL survey,Female,41,0,0
2020,LL survey,Female,41,0,0
1997,LL survey,Female,41,1,0.0038
1998,LL survey,Female,41,0,0
1999,LL survey,Female,41,0,0
2000,LL survey,Female,41,0,0
2001,LL survey,Female,41,0,0
2002,LL fishery,Male,41,0,0
2003,LL fishery,Male,41,0,0
2004,LL fishery,Male,41,0,0
2005,LL fishery,Male,41,0,0
2006,LL fishery,Male,41,0,0
2007,LL fishery,Male,41,0,0
2008,LL fishery,Male,41,0,0
2009,LL fishery,Male,41,0,0
2010,LL fishery,Male,41,0,0
2011,LL fishery,Male,41,0,0
2012,LL fishery,Male,41,0,0
2013,LL fishery,Male,41,0,0
2014,LL fishery,Male,41,0,0
2015,LL fishery,Male,41,0,0
2016,LL fishery,Male,41,0,0
2017,LL fishery,Male,41,0,0
2018,LL fishery,Male,41,0,0
2019,LL fishery,Male,41,0,0
2020,LL fishery,Male,41,0,0
2002,LL survey,Male,41,0,0
2003,LL survey,Male,41,0,0
2004,LL survey,Male,41,0,0
2005,LL survey,Male,41,0,0
2006,LL survey,Male,41,0,0
2007,LL survey,Male,41,0,0
2008,LL survey,Male,41,0,0
2009,LL survey,Male,41,0,0
2010,LL survey,Male,41,0,0
2011,LL survey,Male,41,0,0
2012,LL survey,Male,41,0,0
2013,LL survey,Male,41,0,0
2014,LL survey,Male,41,0,0
2015,LL survey,Male,41,0,0
2016,LL survey,Male,41,0,0
2017,LL survey,Male,41,0,0
2018,LL survey,Male,41,0,0
2019,LL survey,Male,41,0,0
2020,LL survey,Male,41,0,0
1997,LL survey,Male,41,0,0
1998,LL survey,Male,41,0,0
1999,LL survey,Male,41,0,0
2000,LL survey,Male,41,0,0
2001,LL survey,Male,41,0,0
2002,LL fishery,Sex combined,41,0,0
2003,LL fishery,Sex combined,41,0,0
2004,LL fishery,Sex combined,41,0,0
2005,LL fishery,Sex combined,41,0,0
2006,LL fishery,Sex combined,41,0,0
2007,LL fishery,Sex combined,41,0,0
2008,LL fishery,Sex combined,41,0,0
2009,LL fishery,Sex combined,41,0,0
2010,LL fishery,Sex combined,41,0,0
2011,LL fishery,Sex combined,41,0,0
2012,LL fishery,Sex combined,41,0,0
2013,LL fishery,Sex combined,41,0,0
2014,LL fishery,Sex combined,41,0,0
2015,LL fishery,Sex combined,41,0,0
2016,LL fishery,Sex combined,41,0,0
2017,LL fishery,Sex combined,41,0,0
2018,LL fishery,Sex combined,41,0,0
2019,LL fishery,Sex combined,41,0,0
2020,LL fishery,Sex combined,41,0,0
2002,LL survey,Sex combined,41,0,0
2003,LL survey,Sex combined,41,0,0
2004,LL survey,Sex combined,41,0,0
2005,LL survey,Sex combined,41,0,0
2006,LL survey,Sex combined,41,0,0
2007,LL survey,Sex combined,41,0,0
2008,LL survey,Sex combined,41,0,0
