year,time_period,q025,q975,Year,Abundance,N
2005,N.avg,1.5097822841162478,2.0483567422978766,2005,Current estimate,1.7480214935414773
2006,N.avg,1.8381513844020714,2.734103776971572,2006,Current estimate,2.221469065391876
2007,N.avg,2.2464334661469767,3.3963371225401024,2007,Current estimate,2.7389417355539725
2008,N.avg,1.5027824718190725,2.141325858417587,2008,Current estimate,1.7829369688397851
2009,N.avg,2.0416563415224904,2.9734474989881146,2009,Current estimate,2.446445351542431
2010,N.avg,1.8906555634111397,2.689535534100531,2010,Current estimate,2.238725035257171
2011,NA,1.7427734307698466,2.445779337480476,2011,Current estimate,NA
2012,N.avg,1.5948912981285537,2.2020231408604207,2012,Current estimate,1.8595104600104742
2013,N.avg,1.586281903441204,2.1669043389676026,2013,Current estimate,1.841542962682877
2014,NA,1.5389547433726083,2.1464539153006474,2014,Current estimate,NA
2015,N.avg,1.491627583304013,2.1260034916336923,2015,Current estimate,1.7650360834180023
2016,NA,1.6352399716943387,2.355766648871459,2016,Current estimate,NA
2017,N.avg,1.7788523600846642,2.585529806109225,2017,Current estimate,2.1226732232927095
