year,Source,Sex,age,n,proportion,Age
2002,LL fishery,Female,2,1,7.9e-4,2
2003,LL fishery,Female,2,0,0,2
2004,LL fishery,Female,2,0,0,2
2005,LL fishery,Female,2,2,0.0016,2
2006,LL fishery,Female,2,0,0,2
2007,LL fishery,Female,2,0,0,2
2008,LL fishery,Female,2,0,0,2
2009,LL fishery,Female,2,0,0,2
2010,LL fishery,Female,2,1,0.00102,2
2011,LL fishery,Female,2,0,0,2
2012,LL fishery,Female,2,0,0,2
2013,LL fishery,Female,2,0,0,2
2014,LL fishery,Female,2,0,0,2
2015,LL fishery,Female,2,0,0,2
2016,LL fishery,Female,2,1,0.00108,2
2017,LL fishery,Female,2,0,0,2
2018,LL fishery,Female,2,0,0,2
2019,LL fishery,Female,2,1,0.00124,2
2002,LL survey,Female,2,1,0.00329,2
2003,LL survey,Female,2,0,0,2
2004,LL survey,Female,2,0,0,2
2005,LL survey,Female,2,2,0.00391,2
2006,LL survey,Female,2,0,0,2
2007,LL survey,Female,2,0,0,2
2008,LL survey,Female,2,0,0,2
2009,LL survey,Female,2,1,0.00273,2
2010,LL survey,Female,2,3,0.00938,2
2011,LL survey,Female,2,1,0.00274,2
2012,LL survey,Female,2,0,0,2
2013,LL survey,Female,2,0,0,2
2014,LL survey,Female,2,0,0,2
2015,LL survey,Female,2,2,0.00683,2
2016,LL survey,Female,2,19,0.05975,2
2017,LL survey,Female,2,6,0.01709,2
2018,LL survey,Female,2,3,0.0085,2
2019,LL survey,Female,2,1,0.00361,2
1997,LL survey,Female,2,1,0.00379,2
1998,LL survey,Female,2,1,0.00505,2
1999,LL survey,Female,2,11,0.07051,2
2000,LL survey,Female,2,3,0.01389,2
2001,LL survey,Female,2,1,0.00546,2
2002,LL fishery,Male,2,1,9.7e-4,2
2003,LL fishery,Male,2,0,0,2
2004,LL fishery,Male,2,0,0,2
2005,LL fishery,Male,2,0,0,2
2006,LL fishery,Male,2,0,0,2
2007,LL fishery,Male,2,0,0,2
2008,LL fishery,Male,2,0,0,2
2009,LL fishery,Male,2,0,0,2
2010,LL fishery,Male,2,0,0,2
2011,LL fishery,Male,2,0,0,2
2012,LL fishery,Male,2,1,0.00167,2
2013,LL fishery,Male,2,0,0,2
2014,LL fishery,Male,2,0,0,2
2015,LL fishery,Male,2,0,0,2
2016,LL fishery,Male,2,4,0.00797,2
2017,LL fishery,Male,2,3,0.00508,2
2018,LL fishery,Male,2,0,0,2
2019,LL fishery,Male,2,1,0.00203,2
2002,LL survey,Male,2,0,0,2
2003,LL survey,Male,2,0,0,2
2004,LL survey,Male,2,0,0,2
2005,LL survey,Male,2,0,0,2
2006,LL survey,Male,2,0,0,2
2007,LL survey,Male,2,1,0.00295,2
2008,LL survey,Male,2,0,0,2
2009,LL survey,Male,2,0,0,2
2010,LL survey,Male,2,2,0.00702,2
2011,LL survey,Male,2,0,0,2
2012,LL survey,Male,2,1,0.00313,2
2013,LL survey,Male,2,0,0,2
2014,LL survey,Male,2,0,0,2
2015,LL survey,Male,2,2,0.0098,2
2016,LL survey,Male,2,13,0.05462,2
2017,LL survey,Male,2,3,0.01154,2
2018,LL survey,Male,2,3,0.01316,2
2019,LL survey,Male,2,0,0,2
1997,LL survey,Male,2,0,0,2
1998,LL survey,Male,2,0,0,2
1999,LL survey,Male,2,8,0.04348,2
2000,LL survey,Male,2,4,0.02073,2
2001,LL survey,Male,2,2,0.00727,2
2002,LL fishery,Sex combined,2,2,8.7e-4,2
2003,LL fishery,Sex combined,2,0,0,2
