Sex,year,n,proportion,Source
Female,1988,128,0.51,LL survey
Female,1989,107,0.51,LL survey
Female,1990,92,0.45,LL survey
Female,1991,126,0.46,LL survey
Female,1992,107,0.57,LL survey
Female,1993,185,0.46,LL survey
Female,1994,179,0.56,LL survey
Female,1995,88,0.41,LL survey
Female,1996,151,0.51,LL survey
Female,1997,248,0.52,LL survey
Female,1998,184,0.57,LL survey
Female,1999,143,0.48,LL survey
Female,2000,207,0.54,LL survey
Female,2001,175,0.41,LL survey
Female,2002,285,0.47,LL survey
Female,2003,368,0.51,LL survey
Female,2004,377,0.55,LL survey
Female,2005,455,0.58,LL survey
Female,2006,409,0.58,LL survey
Female,2007,422,0.57,LL survey
Female,2008,328,0.56,LL survey
Female,2009,345,0.6,LL survey
Female,2010,290,0.54,LL survey
Female,2011,342,0.56,LL survey
Female,2012,392,0.57,LL survey
Female,2013,247,0.5,LL survey
Female,2014,279,0.53,LL survey
Female,2015,286,0.6,LL survey
Female,2016,306,0.59,LL survey
Female,2017,340,0.59,LL survey
Female,2018,344,0.64,LL survey
Female,2019,263,0.58,LL survey
Female,2020,376,0.62,LL survey
Female,2002,1196,0.57,LL fishery
Female,2003,974,0.59,LL fishery
Female,2004,1418,0.67,LL fishery
Female,2005,1120,0.71,LL fishery
Female,2006,1024,0.65,LL fishery
Female,2007,905,0.66,LL fishery
Female,2008,940,0.67,LL fishery
Female,2009,948,0.69,LL fishery
Female,2010,882,0.67,LL fishery
Female,2011,836,0.66,LL fishery
Female,2012,883,0.64,LL fishery
Female,2013,623,0.52,LL fishery
Female,2014,732,0.6,LL fishery
Female,2015,708,0.64,LL fishery
Female,2016,862,0.66,LL fishery
Female,2017,758,0.6,LL fishery
Female,2018,756,0.64,LL fishery
Female,2019,752,0.65,LL fishery
Female,2020,747,0.63,LL fishery
