age,sex,round_kg,Source,fork_length_cm,round_lb,easterncut_lb_0.63
2,Female,1.36,LL survey,51.78261783975164,3,1.89
3,Female,1.64,LL survey,54.50769965198781,3.62,2.28
4,Female,1.92,LL survey,57.01118210350432,4.23,2.66
5,Female,2.21,LL survey,59.31108530527576,4.87,3.07
6,Female,2.49,LL survey,61.4239640012356,5.49,3.46
7,Female,2.77,LL survey,63.365026729615856,6.11,3.85
8,Female,3.04,LL survey,65.14824529427433,6.7,4.22
9,Female,3.3,LL survey,66.786455333986,7.28,4.59
10,Female,3.55,LL survey,68.29144871359793,7.83,4.93
11,Female,3.78,LL survey,69.67405840208109,8.33,5.25
12,Female,4,LL survey,70.94423644843263,8.82,5.56
13,Female,4.21,LL survey,72.11112561670068,9.28,5.85
14,Female,4.41,LL survey,73.1831251957616,9.72,6.12
15,Female,4.59,LL survey,74.16795145755,10.12,6.38
16,Female,4.77,LL survey,75.07269319892058,10.52,6.63
17,Female,4.93,LL survey,75.90386276693332,10.87,6.85
18,Female,5.07,LL survey,76.66744293484284,11.18,7.04
19,Female,5.21,LL survey,77.36892996620607,11.49,7.24
20,Female,5.34,LL survey,78.01337317708465,11.77,7.42
21,Female,5.45,LL survey,78.60541128111116,12.02,7.57
22,Female,5.56,LL survey,79.14930577903203,12.26,7.72
23,Female,5.66,LL survey,79.64897163306522,12.48,7.86
24,Female,5.75,LL survey,80.10800544686754,12.68,7.99
25,Female,5.83,LL survey,80.52971135395138,12.85,8.1
26,Female,5.91,LL survey,80.9171248008963,13.03,8.21
27,Female,5.98,LL survey,81.27303439654702,13.18,8.3
28,Female,6.04,LL survey,81.60000198446936,13.32,8.39
29,Female,6.1,LL survey,81.9003810831455,13.45,8.47
30,Female,6.16,LL survey,82.17633382664167,13.58,8.56
31,Female,6.2,LL survey,82.42984652768737,13.67,8.61
2,Male,1.27,LL survey,50.77721660263576,2.8,1.76
3,Male,1.49,LL survey,52.85447927379213,3.28,2.07
4,Male,1.69,LL survey,54.69750698667591,3.73,2.35
5,Male,1.89,LL survey,56.33271239310952,4.17,2.63
6,Male,2.07,LL survey,57.78352981844593,4.56,2.87
7,Male,2.23,LL survey,59.070751101703856,4.92,3.1
8,Male,2.39,LL survey,60.21282356591347,5.27,3.32
9,Male,2.53,LL survey,61.22611438892144,5.58,3.52
10,Male,2.65,LL survey,62.12514516338526,5.84,3.68
11,Male,2.76,LL survey,62.922800007464176,6.08,3.83
12,Male,2.86,LL survey,63.63051020866615,6.31,3.98
13,Male,2.95,LL survey,64.25841804700406,6.5,4.1
14,Male,3.03,LL survey,64.81552214523035,6.68,4.21
15,Male,3.1,LL survey,65.30980642918206,6.83,4.3
16,Male,3.16,LL survey,65.74835454638229,6.97,4.39
17,Male,3.21,LL survey,66.13745138264474,7.08,4.46
18,Male,3.26,LL survey,66.48267313152827,7.19,4.53
19,Male,3.3,LL survey,66.7889672074375,7.28,4.59
20,Male,3.34,LL survey,67.0607231476136,7.36,4.64
21,Male,3.37,LL survey,67.30183551912053,7.43,4.68
22,Male,3.4,LL survey,67.51575973235401,7.5,4.72
23,Male,3.42,LL survey,67.70556156094351,7.54,4.75
24,Male,3.45,LL survey,67.87396107772283,7.61,4.79
25,Male,3.47,LL survey,68.0233716364211,7.65,4.82
26,Male,3.48,LL survey,68.15593445772528,7.67,4.83
27,Male,3.5,LL survey,68.2735493153714,7.72,4.86
28,Male,3.51,LL survey,68.37790176203045,7.74,4.88
29,Male,3.52,LL survey,68.47048728516644,7.76,4.89
30,Male,3.53,LL survey,68.55263273904708,7.78,4.9
31,Male,3.54,LL survey,68.62551536005195,7.8,4.91
2,Combined,1.27,LL survey,NA,2.8,1.76
3,Combined,1.55,LL survey,NA,3.42,2.15
4,Combined,1.83,LL survey,NA,4.03,2.54
5,Combined,2.1,LL survey,NA,4.63,2.92
6,Combined,2.35,LL survey,NA,5.18,3.26
7,Combined,2.59,LL survey,NA,5.71,3.6
8,Combined,2.81,LL survey,NA,6.19,3.9
9,Combined,3.01,LL survey,NA,6.64,4.18
10,Combined,3.19,LL survey,NA,7.03,4.43
11,Combined,3.35,LL survey,NA,7.39,4.66
12,Combined,3.5,LL survey,NA,7.72,4.86
13,Combined,3.63,LL survey,NA,8,5.04
14,Combined,3.74,LL survey,NA,8.25,5.2
15,Combined,3.85,LL survey,NA,8.49,5.35
16,Combined,3.94,LL survey,NA,8.69,5.47
17,Combined,4.02,LL survey,NA,8.86,5.58
18,Combined,4.09,LL survey,NA,9.02,5.68
19,Combined,4.15,LL survey,NA,9.15,5.76
20,Combined,4.21,LL survey,NA,9.28,5.85
21,Combined,4.26,LL survey,NA,9.39,5.92
22,Combined,4.3,LL survey,NA,9.48,5.97
23,Combined,4.33,LL survey,NA,9.55,6.02
24,Combined,4.37,LL survey,NA,9.63,6.07
25,Combined,4.39,LL survey,NA,9.68,6.1
26,Combined,4.42,LL survey,NA,9.74,6.14
27,Combined,4.44,LL survey,NA,9.79,6.17
28,Combined,4.46,LL survey,NA,9.83,6.19
29,Combined,4.48,LL survey,NA,9.88,6.22
30,Combined,4.49,LL survey,NA,9.9,6.24
31,Combined,4.5,LL survey,NA,9.92,6.25
